ICLN; SUP; SUP_NUM; MAN; MAN_NUM; PRICE; CUR; MOQ
 CEA_100u_100V_THT_A002; TME; PF2A101MNN1020; Elife; PF2A101MNN1020; 1,2; PLN; 5
 CEA_100u_100V_THT_A002; TME; PJ2C101MNN1225; Elife; PJ2C101MNN1225; 1,6; PLN; 5
 CEA_100u_100V_THT_A002; TME; RD2C107M12025BB; Samwha; RD2C107M12025BB; 1,6; PLN; 5
 CR_1u_100V_X7R_1206_A001; MOUS; 187-CL31B105KCHNFNE; Samsung; CL31B105KCHNFNE; 1,1; PLN; 10
 CR_1u_100V_X7R_1206_A001; TME; CL31B105KCHSNNE; Samsung; CL31B105KCHSNNE; 1,0; PLN; 10
 CR_100n_100V_X7R_0805_A001; TME; SH21B104K101CT; Walsin; SH21B104K101CT; 0,15; PLN, 100
 CR_100n_100V_X7R_0805_A001; TME; VJ0805Y104KXBTW1BC; Vishay; VJ0805Y104KXBTW1BC; 0,15; PLN, 100
 CEA_100u_16V_THT_A002; TME; PF1E101MNN6311U; Elite; PF1E101MNN6311U; 0,25; PLN; 20
 CEA_100u_16V_THT_A002; TME; CE-100/25PHT-Y; Aishi; EWH1EV101E11OT; 0,3; PLN; 20
 CEA_100u_16V_THT_A002; TME; CE-100/16PHT-Y; Aishi; EWH1CM101E11OT; 0,33; PLN; 20
 CR_10n_25V_X7R_0402_A001; TME; 0402B103K250CT; Walsin; 0402B103K250CT; 0,05; PLN; 100
 CR_10n_25V_X7R_0402_A001; TME; 0402B103K500CT; Walsin; 0402B103K500CT; 0,05; PLN; 100
 CR_10n_25V_X7R_0402_A001; TME; CC0402KRX7R8BB103; YAGEO; CC0402KRX7R8BB103; 0,06; PLN; 100
TF_P_AOD403_DPACK_A001; TME; AOD403; ALPHA & OMEGA; AOD403; 1,7; PLN; 5
TF_P_AOD403_DPACK_A001; TME; AOD423; ALPHA & OMEGA; AOD423; 1,6; PLN; 5
IC_1EDI60I12AF_SO8_A001; FAR; 2532479; INFINEON; 1EDI60I12AF; 12,0; PLN; 1
DCDC_MPF1205XT-1W_A001; FAR; 3652694; Multicomp; MPF1205XT-1W; 11,0; PLN; 1
DCDC_MPB1215XT-1W_A001; FAR; 3652664; Multicomp; MPB1215XT-1W; 11,0; PLN; 1
DTSV_SMAJ5.0A_5V_DO214AC_A001; FAR; 2429070; AVX; SMAJ5.0A; 2,2; PLN; 5
DTSV_SMAJ15A_15V_DO214AC_A001; FAR; 3127454; AVX; SMAJ15A; 1,8; PLN; 5
DTSV_SMAJ13A_13V_DO214AC_A001; FAR; 2675284; Multicomp; SMAJ13A; 1,5; PLN; 5
 CR_2u2_25V_X7R_0805_A001; TME; 0805B225K250CT; YAGEO; 0805B225K250CT; 0,26; PLN; 100
 CR_100n_50V_X7R_0603_A001; TME; CC0603KRX7R9BB104; YAGEO; CC0603KRX7R9BB104; 0,06; PLN; 100
 CR_100n_16V_X7R_0402_A001; TME; 0402B104K160CT; WALSIN; 0402B104K160CT; 0,042; PLN; 100
 R_4k7_1%_0402_A001; TME; CRGCQ0402F4K7
 R_43k_1%_1206_A001; TME; SMD1206-43K-1%
 R_330R_1%_0805_A001; TME; SMD0805-330R-1%
 R_27R_1%_0402_A001; TME; SMD0402-27R-1%
 R_100k_1%_0402_A001; TME; CRGCQ0402F100K
 R_47k_1%_0402_A001; TME; SMD0402-47K-1%
 R_1k_1%_0402_A001; TME; CRGCQ0402F1K0
 R_10k_1%_0402_A001; TME; CRGCQ0402F10K
 R_0R_5%_0402_A001; TME; CRCW04020000Z0E
REL_HF105F_D790441_A001; DIEHL; 790441; HONGFA; HF105F-1/012DT-1HSTF; 0,0; PLN; 1
CON_FAS_6.3_THT_A001; TME; FS1536; NINIGI; FS1536; 0,19; PLN; 20
CON_FAS_6.3_THT_A001; TME; 1217861-1/C; TECON; 1217861-1; 0,26; PLN; 20
CON_FAS_6.3_THT_A001; TME; 3866B.68; VOGT; 3866B.68; 0,35; PLN; 20
DS_BAS70_SOD-523_A001; FAR; 3639014; DIODES; BAS70; 0,9; PLN; 25
DS_BAS70_SOD-523_A001; TME; BAS70X-TP; MICRO COMMERCIAL COMPONENTS; BAS70X-TP; 0,15; PLN; 25
DS_BAS70_SOD-523_A001; TME; BAS70KFILM; ST; BAS70KFILM; 0,21; PLN; 20
DS_BAS70_SOD-323_A001; TME; BAS70JFILM; ST; BAS70JFILM; 0,4; PLN; 10
 CR_47p_50V_C0G_0402_A001; TME; CL05C470JB5NNNC; SAMSUNG; CL05C470JB5NNNC; 0,05; PLN; 100
 CR_1n_50V_X7R_0402_A001; TME; CC0402KRX7R9102; YAGEO; CC0402KRX7R9102; 0,04; PLN; 100
IC_LMV722N_SOIC8_A001; TME; LMV722M/NOPB; TI; LMV722M/NOPB; 8,0; PLN; 1
IC_LMV358ID_SOIC8_A001; TME; LMV358IDR; TI; LMV358IDR; 1,0; PLN; 1
TS3021_SOT23-5_A001; TME; TS3021ILT; ST; TS3021ILT; 4,4; PLN; 1
IC_74LVC1G17_SOT23-5_A001; TME; 74LVC1G17W5-7; TI; 74LVC1G17W5-7; 0,4; PLN; 10
IC_74LVC1G17_SOT23-5_A001; FAR; 1893835; DIODES; 74LVC1G17W5-7; 1,9; PLN; 5
IC_74LVC1G14_SOT23-5_A001; TME; SN74LVC1G14DBVR; TI; SN74LVC1G14DBVR; 0,5; PLN; 10
TBA_N+P_BC847B_SOT363_A001; TME; BC847BPN.115; NXP; BC847BPN.115; 0,1; PLN; 20
IC_AP3211KTR_SOT23-6_A001; TME; AP3211KTR-G1; DIODES; AP3211KTR-G1; 1,2; PLN; 3
 CR_10u_25V_X5R_0805_A001; TME; CL21A106KAYNNNG; SAMSUNG; CL21A106KAYNNNG; 0,98; PLN; 10
 CR_10u_10V_0805_A001; TME; 0805X106K100CT; WALSIN; 0805X106K100CT; 0,46; PLN; 10
